date,identifier,title,year,url
1962-01-01,sim_newsweek-us_1962-01-01_59_1,Newsweek 1962-01-01,1962,https://archive.org/details/sim_newsweek-us_1962-01-01_59_1
1962-01-08,sim_newsweek-us_1962-01-08_59_2,Newsweek 1962-01-08,1962,https://archive.org/details/sim_newsweek-us_1962-01-08_59_2
1962-01-15,sim_newsweek-us_1962-01-15_59_3,Newsweek 1962-01-15,1962,https://archive.org/details/sim_newsweek-us_1962-01-15_59_3
1962-01-22,sim_newsweek-us_1962-01-22_59_4,Newsweek 1962-01-22,1962,https://archive.org/details/sim_newsweek-us_1962-01-22_59_4
1962-01-29,sim_newsweek-us_1962-01-29_59_5,Newsweek 1962-01-29,1962,https://archive.org/details/sim_newsweek-us_1962-01-29_59_5
1962-02-05,sim_newsweek-us_1962-02-05_59_6,Newsweek 1962-02-05,1962,https://archive.org/details/sim_newsweek-us_1962-02-05_59_6
1962-02-12,sim_newsweek-us_1962-02-12_59_7,Newsweek 1962-02-12,1962,https://archive.org/details/sim_newsweek-us_1962-02-12_59_7
1962-02-19,sim_newsweek-us_1962-02-19_59_8,Newsweek 1962-02-19,1962,https://archive.org/details/sim_newsweek-us_1962-02-19_59_8
1962-02-26,sim_newsweek-us_1962-02-26_59_9,Newsweek 1962-02-26,1962,https://archive.org/details/sim_newsweek-us_1962-02-26_59_9
1962-03-05,sim_newsweek-us_1962-03-05_59_10,Newsweek 1962-03-05,1962,https://archive.org/details/sim_newsweek-us_1962-03-05_59_10
1962-03-12,sim_newsweek-us_1962-03-12_59_11,Newsweek 1962-03-12,1962,https://archive.org/details/sim_newsweek-us_1962-03-12_59_11
1962-03-19,sim_newsweek-us_1962-03-19_59_12,Newsweek 1962-03-19,1962,https://archive.org/details/sim_newsweek-us_1962-03-19_59_12
1962-03-26,sim_newsweek-us_1962-03-26_59_13,Newsweek 1962-03-26,1962,https://archive.org/details/sim_newsweek-us_1962-03-26_59_13
1962-04-02,sim_newsweek-us_1962-04-02_59_14,Newsweek 1962-04-02,1962,https://archive.org/details/sim_newsweek-us_1962-04-02_59_14
1962-04-09,sim_newsweek-us_1962-04-09_59_15,Newsweek 1962-04-09,1962,https://archive.org/details/sim_newsweek-us_1962-04-09_59_15
1962-04-16,sim_newsweek-us_1962-04-16_59_16,Newsweek 1962-04-16,1962,https://archive.org/details/sim_newsweek-us_1962-04-16_59_16
1962-04-23,sim_newsweek-us_1962-04-23_59_17,Newsweek 1962-04-23,1962,https://archive.org/details/sim_newsweek-us_1962-04-23_59_17
1962-04-30,sim_newsweek-us_1962-04-30_59_18,Newsweek 1962-04-30,1962,https://archive.org/details/sim_newsweek-us_1962-04-30_59_18
1962-05-07,sim_newsweek-us_1962-05-07_59_19,Newsweek 1962-05-07,1962,https://archive.org/details/sim_newsweek-us_1962-05-07_59_19
1962-05-14,sim_newsweek-us_1962-05-14_59_20,Newsweek 1962-05-14,1962,https://archive.org/details/sim_newsweek-us_1962-05-14_59_20
1962-05-21,sim_newsweek-us_1962-05-21_59_21,Newsweek 1962-05-21,1962,https://archive.org/details/sim_newsweek-us_1962-05-21_59_21
1962-05-28,sim_newsweek-us_1962-05-28_59_22,Newsweek 1962-05-28,1962,https://archive.org/details/sim_newsweek-us_1962-05-28_59_22
1962-06-04,sim_newsweek-us_1962-06-04_59_23,Newsweek 1962-06-04,1962,https://archive.org/details/sim_newsweek-us_1962-06-04_59_23
1962-06-11,sim_newsweek-us_1962-06-11_59_24,Newsweek 1962-06-11,1962,https://archive.org/details/sim_newsweek-us_1962-06-11_59_24
1962-06-18,sim_newsweek-us_1962-06-18_59_25,Newsweek 1962-06-18,1962,https://archive.org/details/sim_newsweek-us_1962-06-18_59_25
1962-06-25,sim_newsweek-us_1962-06-25_59_26,Newsweek 1962-06-25,1962,https://archive.org/details/sim_newsweek-us_1962-06-25_59_26
